,BI,ENJ,Im,JR,PEU,PU,Pf,Qu,SA,Use
From BI,,,0.26,0.126,,,,0.262,0.19,0.552
From ENJ,0.597,,,0.126,0.314,0.436,0.136,,0.19,
From Im,,,,0.126,,0.436,0.136,0.262,0.19,0.552
From JR,0.597,,0.26,,,0.436,0.136,,0.19,
From PEU,0.597,0.219,0.26,0.126,,0.436,0.136,0.262,0.19,0.552
From PU,,0.219,,0.126,,,0.136,0.262,0.19,0.552
From Pf,0.597,,0.26,0.126,0.314,,,0.262,,0.552
From Qu,0.597,,,0.126,0.314,0.436,0.136,,,0.552
From SA,0.597,,0.26,0.126,0.314,0.436,0.136,,,0.552
From Use,0.597,,0.26,,,0.436,0.136,,,
